id;人物类型ID;人物等级ID;名字;ID;动画文件名称;所占人口;解锁兵种需要的兵营等级;升级需要的科技建筑等级;移动速度;生命值;造兵所需时间;造兵消耗资源种类;造兵资源数量;升级时间:小时;升级消耗资源的类型;升级消耗资源的数量;射程范围;攻击间隔;攻击力;对特定类目标的攻击倍率;攻击的溅射范围;对应UI;对应图标的名称;对应大尺寸图片;子弹对象;优先攻击的建筑类别;放入地图时的特效;攻击效果;受击效果;是否为飞行单位;攻击对空;攻击对地;攻击几次后死亡;死亡效果;动画名称
200003;2000;3;Archer;TID_ARCHER;sc/characters.cs;1;2;3;300;28;25;Elixir;120;72;Elixir;500000;400;1000;12;1;-1;sc/ui.sc;icon_unit_archer3;unit_archer_big;Arrow_small_fire;-1;Archer Deploy;Archer Attack;Archer Hit;FALSE;TRUE;TRUE;-1;Archer Die;Archer2
200004;2000;4;Archer;TID_ARCHER;sc/characters.cs;1;2;5;300;33;25;Elixir;160;120;Elixir;1500000;400;1000;16;1;-1;sc/ui.sc;icon_unit_archer4;unit_archer_big;Arrow_small_fire;-1;Archer Deploy;Archer Attack;Archer Hit;FALSE;TRUE;TRUE;-1;Archer Die;Archer2
200005;2000;5;Archer;TID_ARCHER;sc/characters.cs;1;2;6;300;40;25;Elixir;200;120;Elixir;-1;400;1000;20;1;-1;sc/ui.sc;icon_unit_archer5;unit_archer_big;Arrow_small_elixirFire;-1;Archer Deploy;Archer Attack;Archer Hit;FALSE;TRUE;TRUE;-1;Archer Die;Archer3
300001;3000;1;Goblin;TID_GOBLIN;sc/characters.cs;2;3;1;800;25;0;Elixir;25;6;Elixir;20000;40;1000;11;2;-1;sc/ui.sc;icon_unit_goblin;unit_goblin_big;NULL;200;Goblin Deploy;Goblin Attack;Goblin Hit;TRUE;TRUE;TRUE;-1;Goblin Die;Goblin
300002;3000;2;Goblin;TID_GOBLIN;sc/characters.cs;2;3;1;800;30;0;Elixir;40;24;Elixir;100000;40;1000;14;2;-1;sc/ui.sc;icon_unit_goblin2;unit_goblin_big;NULL;200;Goblin Deploy;Goblin Attack;Goblin Hit;TRUE;TRUE;TRUE;-1;Goblin Die;Goblin
300003;3000;3;Goblin;TID_GOBLIN;sc/characters.cs;2;3;3;800;36;0;Elixir;60;72;Elixir;500000;40;1000;19;2;-1;sc/ui.sc;icon_unit_goblin3;unit_goblin_big;NULL;200;Goblin Deploy;Goblin Attack;Goblin Hit;TRUE;TRUE;TRUE;-1;Goblin Die;Goblin2
300004;3000;4;Goblin;TID_GOBLIN;sc/characters.cs;2;3;5;800;43;0;Elixir;80;120;Elixir;1500000;40;1000;24;2;-1;sc/ui.sc;icon_unit_goblin4;unit_goblin_big;NULL;200;Goblin Deploy;Goblin Attack;Goblin Hit;TRUE;TRUE;TRUE;-1;Goblin Die;Goblin2
300005;3000;5;Goblin;TID_GOBLIN;sc/characters.cs;2;3;6;800;52;0;Elixir;100;120;Elixir;-1;40;1000;32;2;-1;sc/ui.sc;icon_unit_goblin5;unit_goblin_big;NULL;200;Goblin Deploy;Goblin Attack;Goblin Hit;TRUE;TRUE;TRUE;-1;Goblin Die;Goblin3
400001;4000;1;Giant;TID_GIANT;sc/characters.cs;5;4;1;150;300;105;Elixir;500;6;Elixir;100000;100;2000;11;1;-1;sc/ui.sc;icon_unit_giant;unit_giant_big;NULL;300;Giant Deploy;Giant Attack;Giant Hit;FALSE;FALSE;TRUE;-1;Giant Die;Giant
400002;4000;2;Giant;TID_GIANT;sc/characters.cs;5;4;2;150;360;105;Elixir;1000;24;Elixir;250000;100;2000;14;1;-1;sc/ui.sc;icon_unit_giant2;unit_giant_big;NULL;300;Giant Deploy;Giant Attack;Giant Hit;FALSE;FALSE;TRUE;-1;Giant Die;Giant
400003;4000;3;Giant;TID_GIANT;sc/characters.cs;5;4;4;150;430;105;Elixir;1500;72;Elixir;500000;100;2000;19;1;-1;sc/ui.sc;icon_unit_giant3;unit_giant_big;NULL;300;Giant Deploy;Giant Attack;Giant Hit;FALSE;FALSE;TRUE;-1;Giant Die;Giant2
400004;4000;4;Giant;TID_GIANT;sc/characters.cs;5;4;5;150;520;105;Elixir;2000;120;Elixir;1500000;100;2000;24;1;-1;sc/ui.sc;icon_unit_giant4;unit_giant_big;NULL;300;Giant Deploy;Giant Attack;Giant Hit;FALSE;FALSE;TRUE;-1;Giant Die;Giant2
400005;4000;5;Giant;TID_GIANT;sc/characters.cs;5;4;6;150;620;105;Elixir;2500;120;Elixir;-1;100;2000;31;1;-1;sc/ui.sc;icon_unit_giant5;unit_giant_big;NULL;300;Giant Deploy;Giant Attack;Giant Hit;FALSE;FALSE;TRUE;-1;Giant Die;Giant3
500001;5000;1;Wall Breaker;TID_WALL_BREAKER;sc/characters.cs;1;5;1;300;20;120;Elixir;1000;6;Elixir;100000;50;1000;12;40;80;sc/ui.sc;icon_unit_wallbreaker;unit_skeleton_big;NULL;400;Wall Breaker Deploy;Wall Breaker Attack;Wall Breaker Hit;FALSE;FALSE;TRUE;1;Wall Breaker Die;Wall Breaker
500002;5000;2;Wall Breaker;TID_WALL_BREAKER;sc/characters.cs;1;5;2;300;24;120;Elixir;1500;24;Elixir;250000;50;1000;16;40;80;sc/ui.sc;icon_unit_wallbreaker2;unit_skeleton_big;NULL;400;Wall Breaker Deploy;Wall Breaker Attack;Wall Breaker Hit;FALSE;FALSE;TRUE;1;Wall Breaker Die;Wall Breaker
500003;5000;3;Wall Breaker;TID_WALL_BREAKER;sc/characters.cs;1;5;4;300;29;120;Elixir;2000;72;Elixir;500000;50;1000;24;40;80;sc/ui.sc;icon_unit_wallbreaker3;unit_skeleton_big;NULL;400;Wall Breaker Deploy;Wall Breaker Attack;Wall Breaker Hit;FALSE;FALSE;TRUE;1;Wall Breaker Die;Wall Breaker2
500004;5000;4;Wall Breaker;TID_WALL_BREAKER;sc/characters.cs;1;5;5;300;35;120;Elixir;2500;120;Elixir;1500000;50;1000;32;40;80;sc/ui.sc;icon_unit_wallbreaker4;unit_skeleton_big;NULL;400;Wall Breaker Deploy;Wall Breaker Attack;Wall Breaker Hit;FALSE;FALSE;TRUE;1;Wall Breaker Die;Wall Breaker2
500005;5000;5;Wall Breaker;TID_WALL_BREAKER;sc/characters.cs;1;5;6;300;42;120;Elixir;3000;120;Elixir;-1;50;1000;46;40;80;sc/ui.sc;icon_unit_wallbreaker5;unit_skeleton_big;NULL;400;Wall Breaker Deploy;Wall Breaker Attack;Wall Breaker Hit;FALSE;FALSE;TRUE;1;Wall Breaker Die;Wall Breaker3
600001;6000;1;Balloon Goblin;TID_GOBLIN_BALLOON;sc/characters.cs;5;6;1;150;150;600;Elixir;2000;6;Elixir;100000;50;4000;25;1;120;sc/ui.sc;icon_unit_balloon;unit_balloon_big;NULL;300;Balloon Goblin Deploy;Balloon Goblin Attack;Balloon Goblin Hit;TRUE;FALSE;TRUE;-1;Balloon Goblin Die;Balloon Goblin
600002;6000;2;Balloon Goblin;TID_GOBLIN_BALLOON;sc/characters.cs;5;6;2;150;180;600;Elixir;2500;24;Elixir;250000;50;4000;32;1;120;sc/ui.sc;icon_unit_balloon2;unit_balloon_big;NULL;300;Balloon Goblin Deploy;Balloon Goblin Attack;Balloon Goblin Hit;TRUE;FALSE;TRUE;-1;Balloon Goblin Die;Balloon Goblin
600003;6000;3;Balloon Goblin;TID_GOBLIN_BALLOON;sc/characters.cs;5;6;4;150;216;600;Elixir;3000;72;Elixir;500000;50;4000;48;1;120;sc/ui.sc;icon_unit_balloon3;unit_balloon_big;NULL;300;Balloon Goblin Deploy;Balloon Goblin Attack;Balloon Goblin Hit;TRUE;FALSE;TRUE;-1;Balloon Goblin Die;Balloon Goblin2
600004;6000;4;Balloon Goblin;TID_GOBLIN_BALLOON;sc/characters.cs;5;6;5;150;260;600;Elixir;3500;120;Elixir;1500000;50;4000;72;1;120;sc/ui.sc;icon_unit_balloon4;unit_balloon_big;NULL;300;Balloon Goblin Deploy;Balloon Goblin Attack;Balloon Goblin Hit;TRUE;FALSE;TRUE;-1;Balloon Goblin Die;Balloon Goblin2
600005;6000;5;Balloon Goblin;TID_GOBLIN_BALLOON;sc/characters.cs;5;6;6;150;310;600;Elixir;4000;120;Elixir;-1;50;4000;108;1;120;sc/ui.sc;icon_unit_balloon5;unit_balloon_big;NULL;300;Balloon Goblin Deploy;Balloon Goblin Attack;Balloon Goblin Hit;TRUE;FALSE;TRUE;-1;Balloon Goblin Die;Balloon Goblin3
700001;7000;1;Wizard;TID_WIZARD;sc/characters.cs;4;7;1;200;75;600;Elixir;2000;6;Elixir;150000;300;1500;50;1;-1;sc/ui.sc;icon_unit_wizard;unit_wizard_big;wizard_projectile;-1;Wizard Deploy;Wizard Attack;Wizard Hit1;FALSE;TRUE;TRUE;-1;Wizard Die;Wizard
700002;7000;2;Wizard;TID_WIZARD;sc/characters.cs;4;7;3;200;90;600;Elixir;2500;24;Elixir;250000;300;1500;70;1;-1;sc/ui.sc;icon_unit_wizard2;unit_wizard_big;wizard_projectile;-1;Wizard Deploy;Wizard Attack;Wizard Hit1;FALSE;TRUE;TRUE;-1;Wizard Die;Wizard
700003;7000;3;Wizard;TID_WIZARD;sc/characters.cs;4;7;4;200;108;600;Elixir;3000;72;Elixir;500000;300;1500;90;1;-1;sc/ui.sc;icon_unit_wizard3;unit_wizard_big;wizard_projectile;-1;Wizard Deploy;Wizard Attack;Wizard Hit1;FALSE;TRUE;TRUE;-1;Wizard Die;Wizard2
700004;7000;4;Wizard;TID_WIZARD;sc/characters.cs;4;7;5;200;130;600;Elixir;3500;120;Elixir;1500000;300;1500;125;1;-1;sc/ui.sc;icon_unit_wizard4;unit_wizard_big;wizard_projectile2;-1;Wizard Deploy;Wizard Attack2;Wizard Hit2;FALSE;TRUE;TRUE;-1;Wizard Die;Wizard2
700005;7000;5;Wizard;TID_WIZARD;sc/characters.cs;4;7;6;200;156;600;Elixir;4000;120;Elixir;-1;300;1500;170;1;-1;sc/ui.sc;icon_unit_wizard5;unit_wizard_big;wizard_projectile2;-1;Wizard Deploy;Wizard Attack2;Wizard Hit2;FALSE;TRUE;TRUE;-1;Wizard Die;Wizard3
800001;8000;1;Healer;TID_HEALER;sc/characters.cs;20;8;1;200;60;1200;Elixir;7000;72;Elixir;500000;400;700;-30;1;200;sc/ui.sc;icon_unit_healer;unit_healer_big;HealerEnergy;-1;Healer Deploy;Healer Attack;Healer Hit;TRUE;FALSE;TRUE;-1;Healer Die;Healer
800002;8000;2;Healer;TID_HEALER;sc/characters.cs;20;8;5;200;75;1200;Elixir;10000;120;Elixir;1500000;400;700;-40;1;200;sc/ui.sc;icon_unit_healer2;unit_healer_big;HealerEnergy;-1;Healer Deploy;Healer Attack;Healer Hit;TRUE;FALSE;TRUE;-1;Healer Die;Healer
800003;8000;3;Healer;TID_HEALER;sc/characters.cs;20;8;6;200;90;1200;Elixir;13000;120;Elixir;-1;400;700;-50;1;200;sc/ui.sc;icon_unit_healer3;unit_healer_big;HealerEnergy;-1;Healer Deploy;Healer Attack;Healer Hit;TRUE;FALSE;TRUE;-1;Healer Die;Healer2
900001;9000;1;Dragon;TID_DRAGON;sc/characters.cs;20;9;1;200;1700;1800;Elixir;40000;168;Elixir;2000000;300;1500;120;1;-1;sc/ui.sc;icon_unit_dragon;unit_dragon_big;NULL;-1;Dragon Deploy;Dragon Attack;Dragon Hit;TRUE;TRUE;TRUE;-1;Dragon Die;Dragon
900002;9000;2;Dragon;TID_DRAGON;sc/characters.cs;20;9;5;200;2000;1800;Elixir;55000;240;Elixir;3000000;300;1500;150;1;-1;sc/ui.sc;icon_unit_dragon2;unit_dragon_big;NULL;-1;Dragon Deploy;Dragon Attack;Dragon Hit;TRUE;TRUE;TRUE;-1;Dragon Die;Dragon2
900003;9000;3;Dragon;TID_DRAGON;sc/characters.cs;20;9;6;200;2200;1800;Elixir;65000;240;Elixir;-1;300;1500;170;1;-1;sc/ui.sc;icon_unit_dragon3;unit_dragon_big;NULL;-1;Dragon Deploy;Dragon Attack;Dragon Hit;TRUE;TRUE;TRUE;-1;Dragon Die;Dragon3
1000001;10000;1;PEKKA;TID_PEKKA;sc/characters.cs;25;10;1;200;2400;3600;Elixir;70000;240;Elixir;3000000;80;2500;200;1;-1;sc/ui.sc;icon_unit_pekka;unit_pekka_big;NULL;-1;Pekka Deploy;Pekka Attack;Pekka Hit;FALSE;FALSE;TRUE;-1;Pekka Die;PEKKA
1000002;10000;2;PEKKA;TID_PEKKA;sc/characters.cs;25;10;6;200;3000;3600;Elixir;100000;240;Elixir;-1;80;2500;260;1;-1;sc/ui.sc;icon_unit_pekka2;unit_pekka_big;NULL;-1;Pekka Deploy;Pekka Attack;Pekka Hit;FALSE;FALSE;TRUE;-1;Pekka Die;PEKKA2
