ID;build_level;buildType_ID;Name;ExportName;BuildTimeD;BuildTimeH;BuildTimeM;BuildCost;TownHallLevel;MaxStoredGold;MaxStoredElixir;HousingSpace;ResourcePerHour;ResourceMax;UnitProduction;Hitpoints;RegenTime;Damage;Projectile;DefenderCharacter;DefenderCount;DestructionXP;ExportNameTriggered
20206;6;202;-1;goldmine_lvl6;0;12;0;7000;3;-1;-1;-1;1300;20000;-1;610;35;-1;NULL;-1;-1;-1;NULL
20207;7;202;-1;goldmine_lvl7;1;0;0;14000;4;-1;-1;-1;1600;30000;-1;630;36;-1;NULL;-1;-1;-1;NULL
20208;8;202;-1;goldmine_lvl8;2;0;0;28000;4;-1;-1;-1;1900;50000;-1;660;37;-1;NULL;-1;-1;-1;NULL
20209;9;202;-1;goldmine_lvl9;3;0;0;56000;5;-1;-1;-1;2200;75000;-1;680;38;-1;NULL;-1;-1;-1;NULL
20210;10;202;-1;goldmine_lvl10;4;0;0;84000;5;-1;-1;-1;2500;100000;-1;710;39;-1;NULL;-1;-1;-1;NULL
20301;1;203;Gold Storage;gold_storage_lvl1;0;0;15;300;1;1500;-1;-1;-1;-1;-1;400;30;-1;NULL;-1;-1;-1;NULL
20302;2;203;-1;gold_storage_lvl2;0;0;30;750;2;3000;-1;-1;-1;-1;-1;600;31;-1;NULL;-1;-1;-1;NULL
20303;3;203;-1;gold_storage_lvl3;0;1;0;1500;2;6000;-1;-1;-1;-1;-1;800;32;-1;NULL;-1;-1;-1;NULL
20304;4;203;-1;gold_storage_lvl4;0;2;0;3000;3;12000;-1;-1;-1;-1;-1;1000;33;-1;NULL;-1;-1;-1;NULL
20305;5;203;-1;gold_storage_lvl5;0;3;0;6000;3;25000;-1;-1;-1;-1;-1;1200;34;-1;NULL;-1;-1;-1;NULL
20306;6;203;-1;gold_storage_lvl6;0;4;0;12000;3;50000;-1;-1;-1;-1;-1;1500;35;-1;NULL;-1;-1;-1;NULL
20307;7;203;-1;gold_storage_lvl7;0;6;0;25000;4;100000;-1;-1;-1;-1;-1;1650;36;-1;NULL;-1;-1;-1;NULL
20308;8;203;-1;gold_storage_lvl8;0;8;0;50000;4;250000;-1;-1;-1;-1;-1;1740;37;-1;NULL;-1;-1;-1;NULL
20309;9;203;-1;gold_storage_lvl9;0;12;0;100000;5;500000;-1;-1;-1;-1;-1;1820;38;-1;NULL;-1;-1;-1;NULL
20310;10;203;-1;gold_storage_lvl10;0;24;0;250000;6;1000000;-1;-1;-1;-1;-1;1920;39;-1;NULL;-1;-1;-1;NULL
201;1;2;Barrack;barracks_lvl1;0;0;1;200;1;-1;-1;-1;-1;-1;20;250;30;-1;NULL;-1;-1;-1;NULL
202;2;2;-1;barracks_lvl2;0;0;15;1000;1;-1;-1;-1;-1;-1;25;270;31;-1;NULL;-1;-1;-1;NULL
203;3;2;-1;barracks_lvl3;0;2;0;2500;1;-1;-1;-1;-1;-1;30;280;32;-1;NULL;-1;-1;-1;NULL
204;4;2;-1;barracks_lvl4;0;4;0;5000;2;-1;-1;-1;-1;-1;35;290;33;-1;NULL;-1;-1;-1;NULL
205;5;2;-1;barracks_lvl5;0;10;0;10000;3;-1;-1;-1;-1;-1;40;310;34;-1;NULL;-1;-1;-1;NULL
206;6;2;-1;barracks_lvl6;0;16;0;80000;4;-1;-1;-1;-1;-1;45;320;35;-1;NULL;-1;-1;-1;NULL
207;7;2;-1;barracks_lvl7;1;0;0;240000;5;-1;-1;-1;-1;-1;50;340;36;-1;NULL;-1;-1;-1;NULL
208;8;2;-1;barracks_lvl8;2;0;0;1000000;6;-1;-1;-1;-1;-1;55;350;37;-1;NULL;-1;-1;-1;NULL
209;9;2;-1;barracks_lvl9;4;0;0;1500000;7;-1;-1;-1;-1;-1;60;390;38;-1;NULL;-1;-1;-1;NULL
210;10;2;-1;barracks_lvl10;6;0;0;2000000;8;-1;-1;-1;-1;-1;75;420;39;-1;NULL;-1;-1;-1;NULL
301;1;3;Laboratory;laboratory_lvl1;0;0;30;25000;3;-1;-1;-1;-1;-1;-1;250;30;-1;NULL;-1;-1;-1;NULL
302;2;3;-1;laboratory_lvl2;0;5;0;50000;4;-1;-1;-1;-1;-1;-1;270;32;-1;NULL;-1;-1;-1;NULL
303;3;3;-1;laboratory_lvl3;0;12;0;90000;5;-1;-1;-1;-1;-1;-1;280;34;-1;NULL;-1;-1;-1;NULL
304;4;3;-1;laboratory_lvl4;1;0;0;270000;6;-1;-1;-1;-1;-1;-1;290;36;-1;NULL;-1;-1;-1;NULL
305;5;3;-1;laboratory_lvl5;2;0;0;540000;7;-1;-1;-1;-1;-1;-1;310;38;-1;NULL;-1;-1;-1;NULL
306;6;3;-1;laboratory_lvl6;4;0;0;1080000;8;-1;-1;-1;-1;-1;-1;320;40;-1;NULL;-1;-1;-1;NULL
30001;1;300;Cannon;basic_turret_lvl1;0;0;1;250;1;-1;-1;-1;-1;-1;-1;400;30;9;Cannonball;-1;-1;-1;NULL
30002;2;300;-1;basic_turret_lvl2;0;0;15;1000;1;-1;-1;-1;-1;-1;-1;450;31;11;Cannonball2;-1;-1;-1;NULL
30003;3;300;-1;basic_turret_lvl3;0;0;45;4000;2;-1;-1;-1;-1;-1;-1;500;32;15;Cannonball2;-1;-1;-1;NULL
30004;4;300;-1;basic_turret_lvl4;0;2;0;16000;3;-1;-1;-1;-1;-1;-1;550;33;19;Cannonball4;-1;-1;-1;NULL
30005;5;300;-1;basic_turret_lvl5;0;6;0;64000;4;-1;-1;-1;-1;-1;-1;590;34;25;Cannonball4;-1;-1;-1;NULL
30006;6;300;-1;basic_turret_lvl6;0;12;0;150000;5;-1;-1;-1;-1;-1;-1;610;35;31;Cannonball5;-1;-1;-1;NULL
30007;7;300;-1;basic_turret_lvl7;1;0;0;300000;6;-1;-1;-1;-1;-1;-1;630;36;40;Cannonball5;-1;-1;-1;NULL
30008;8;300;-1;basic_turret_lvl8;2;0;0;600000;7;-1;-1;-1;-1;-1;-1;660;37;48;Cannonball7;-1;-1;-1;NULL
30009;9;300;-1;basic_turret_lvl9;3;0;0;1200000;8;-1;-1;-1;-1;-1;-1;690;38;56;Cannonball7;-1;-1;-1;NULL
30010;10;300;-1;basic_turret_lvl10;5;0;0;2400000;8;-1;-1;-1;-1;-1;-1;710;39;65;Cannonball10;-1;-1;-1;NULL
30101;1;301;Archer Tower;tower_turret_lvl1;0;0;15;1000;2;-1;-1;-1;-1;-1;-1;400;30;11;Tower Arrow;6;1;-1;NULL
30102;2;301;-1;tower_turret_lvl2;0;0;30;2000;2;-1;-1;-1;-1;-1;-1;450;31;15;Tower Arrow;6;2;-1;NULL
30103;3;301;-1;tower_turret_lvl3;0;0;45;5000;3;-1;-1;-1;-1;-1;-1;500;32;19;Tower Arrow;6;3;-1;NULL
30104;4;301;-1;tower_turret_lvl4;0;4;0;20000;4;-1;-1;-1;-1;-1;-1;550;33;25;Tower Arrow Fire;8;1;-1;NULL
30105;5;301;-1;tower_turret_lvl5;0;12;0;80000;5;-1;-1;-1;-1;-1;-1;590;34;30;Tower Arrow Fire;8;2;-1;NULL
30106;6;301;-1;tower_turret_lvl6;1;0;0;180000;5;-1;-1;-1;-1;-1;-1;610;35;35;Tower Arrow Fire;8;3;-1;NULL
30107;7;301;-1;tower_turret_lvl7;3;0;0;360000;6;-1;-1;-1;-1;-1;-1;630;36;42;Tower Arrow ElixFire;10;1;-1;NULL
30108;8;301;-1;tower_turret_lvl8;4;0;0;720000;7;-1;-1;-1;-1;-1;-1;660;37;48;Tower Arrow ElixFire;10;2;-1;NULL
30109;9;301;-1;tower_turret_lvl9;5;0;0;1500000;8;-1;-1;-1;-1;-1;-1;690;38;56;Tower Arrow ElixFire;10;3;-1;NULL
30110;10;301;-1;tower_turret_lvl10;6;0;0;2500000;8;-1;-1;-1;-1;-1;-1;710;39;65;Tower Arrow ElixFire;10;1;-1;NULL
40001;1;400;Wall;defense_wall_lvl1;0;0;0;200;2;-1;-1;-1;-1;-1;-1;300;30;-1;NULL;-1;-1;-1;NULL
40002;2;400;-1;defense_wall_lvl2;0;0;0;1000;2;-1;-1;-1;-1;-1;-1;500;31;-1;NULL;-1;-1;-1;NULL
40003;3;400;-1;defense_wall_lvl3;0;0;0;5000;3;-1;-1;-1;-1;-1;-1;700;32;-1;NULL;-1;-1;-1;NULL
40004;4;400;-1;defense_wall_lvl4;0;0;0;10000;4;-1;-1;-1;-1;-1;-1;900;33;-1;NULL;-1;-1;-1;NULL
40005;5;400;-1;defense_wall_lvl5;0;0;0;30000;5;-1;-1;-1;-1;-1;-1;1400;34;-1;NULL;-1;-1;-1;NULL
40006;6;400;-1;defense_wall_lvl6;0;0;0;75000;6;-1;-1;-1;-1;-1;-1;2000;35;-1;NULL;-1;-1;-1;NULL
40007;7;400;-1;defense_wall_lvl7;0;0;0;200000;7;-1;-1;-1;-1;-1;-1;2500;36;-1;NULL;-1;-1;-1;NULL
40008;8;400;-1;defense_wall_lvl8;0;0;0;500000;8;-1;-1;-1;-1;-1;-1;3000;37;-1;NULL;-1;-1;-1;NULL
30201;1;302;Wizard Tower;wizard_tower_lvl1;0;12;0;180000;5;-1;-1;-1;-1;-1;-1;620;30;11;Wizard Blast;31;1;-1;NULL
30202;2;302;-1;wizard_tower_lvl4;1;0;0;360000;5;-1;-1;-1;-1;-1;-1;660;32;13;NULL;-1;-1;-1;NULL
30203;3;302;-1;wizard_tower_lvl7;2;0;0;720000;6;-1;-1;-1;-1;-1;-1;690;34;16;NULL;-1;-1;-1;NULL
30204;4;302;-1;wizard_tower_lvl8;4;0;0;1280000;7;-1;-1;-1;-1;-1;-1;720;36;20;NULL;-1;-1;-1;NULL
30205;5;302;-1;wizard_tower_lvl9;6;0;0;1960000;8;-1;-1;-1;-1;-1;-1;760;38;24;NULL;-1;-1;-1;NULL
30206;6;302;-1;wizard_tower_lvl10;8;0;0;2680000;8;-1;-1;-1;-1;-1;-1;800;40;32;NULL;-1;-1;-1;NULL
30301;1;303;Air Defense;fireworks_tower_lvl1;0;5;0;22500;4;-1;-1;-1;-1;-1;-1;800;30;80;Firework;-1;-1;-1;NULL
30302;2;303;-1;fireworks_tower_lvl2;1;0;0;90000;4;-1;-1;-1;-1;-1;-1;860;32;110;Firework2;-1;-1;-1;NULL
30303;3;303;-1;fireworks_tower_lvl3;3;0;0;270000;5;-1;-1;-1;-1;-1;-1;900;34;140;Firework3;-1;-1;-1;NULL
30304;4;303;-1;fireworks_tower_lvl4;5;0;0;540000;6;-1;-1;-1;-1;-1;-1;940;36;160;Firework4;-1;-1;-1;NULL
30305;5;303;-1;fireworks_tower_lvl5;7;0;0;1080000;7;-1;-1;-1;-1;-1;-1;990;38;190;Firework5;-1;-1;-1;NULL
30306;6;303;-1;fireworks_tower_lvl6;8;0;0;2160000;8;-1;-1;-1;-1;-1;-1;1040;40;230;Firework6;-1;-1;-1;NULL
30401;1;304;Mortar;mortar_lvl1;0;8;0;8000;3;-1;-1;-1;-1;-1;-1;400;30;4;Mortar Ammo1;-1;-1;-1;NULL
30402;2;304;-1;mortar_lvl2;0;12;0;32000;4;-1;-1;-1;-1;-1;-1;450;32;5;Mortar Ammo2;-1;-1;-1;NULL
30403;3;304;-1;mortar_lvl3;1;0;0;128000;5;-1;-1;-1;-1;-1;-1;500;34;6;Mortar Ammo3;-1;-1;-1;NULL
30404;4;304;-1;mortar_lvl4;2;0;0;512000;6;-1;-1;-1;-1;-1;-1;550;36;7;Mortar Ammo4;-1;-1;-1;NULL
30405;5;304;-1;mortar_lvl5;4;0;0;1024000;7;-1;-1;-1;-1;-1;-1;590;38;8;Mortar Ammo5;-1;-1;-1;NULL
30406;6;304;-1;mortar_lvl6;6;0;0;2048000;8;-1;-1;-1;-1;-1;-1;610;40;9;Mortar Ammo6;-1;-1;-1;NULL
401;1;4;Alliance Castle;alliance_castle_lvl1;0;0;0;40000;3;-1;-1;10;-1;-1;-1;500;30;-1;NULL;-1;-1;-1;NULL
402;2;4;-1;alliance_castle_lvl2;0;6;0;100000;4;-1;-1;15;-1;-1;-1;520;32;-1;NULL;-1;-1;-1;NULL
403;3;4;-1;alliance_castle_lvl3;1;0;0;800000;6;-1;-1;20;-1;-1;-1;550;34;-1;NULL;-1;-1;-1;NULL
404;4;4;-1;alliance_castle_lvl4;2;0;0;1800000;8;-1;-1;25;-1;-1;-1;580;36;-1;NULL;-1;-1;-1;NULL
30501;1;305;Tesla Tower;teslatower_lvl1_setup;2;0;0;1000000;7;-1;-1;-1;-1;-1;-1;600;34;34;NULL;-1;-1;-1;teslatower_lvl1
30502;2;305;-1;teslatower_lvl2_setup;4;0;0;1250000;7;-1;-1;-1;-1;-1;-1;630;35;40;NULL;-1;-1;-1;teslatower_lvl2
30503;3;305;-1;teslatower_lvl3_setup;6;0;0;1500000;7;-1;-1;-1;-1;-1;-1;660;36;48;NULL;-1;-1;-1;teslatower_lvl3
30504;4;305;-1;teslatower_lvl4_setup;8;0;0;2000000;8;-1;-1;-1;-1;-1;-1;690;37;55;NULL;-1;-1;-1;teslatower_lvl4
30505;5;305;-1;teslatower_lvl5_setup;10;0;0;2500000;8;-1;-1;-1;-1;-1;-1;730;38;64;NULL;-1;-1;-1;teslatower_lvl5
30506;6;305;-1;teslatower_lvl6_setup;12;0;0;3000000;8;-1;-1;-1;-1;-1;-1;770;39;75;NULL;-1;-1;-1;teslatower_lvl6
501;1;5;Spell Forge;spell_factory_lvl1;1;0;0;200000;5;-1;-1;1;-1;-1;1;200;30;-1;NULL;-1;-1;-1;NULL
502;2;5;-1;spell_factory_lvl2;2;0;0;400000;6;-1;-1;2;-1;-1;2;400;31;-1;NULL;-1;-1;-1;NULL
503;3;5;-1;spell_factory_lvl3;4;0;0;800000;7;-1;-1;3;-1;-1;3;600;32;-1;NULL;-1;-1;-1;NULL
50001;1;500;Worker Building;worker_building_upg;0;0;0;10000;0;-1;-1;-1;-1;-1;-1;400;30;-1;NULL;-1;-1;-1;NULL
